"5hzgA00-i2","3.40.50.1820","","5hzgA00"
"1axsA01-i2","2.60.40.10","Immunoglobulins","1axsA01"
"4hudA01-i1","3.30.2000.40","","4hudA01"
"2klqA00-i1","1.20.58.870","","2klqA00"
"4pyrA02-i2","3.40.50.2300","","4pyrA02"
"4lexL01-i2","2.60.40.10","Immunoglobulins","4lexL01"
"4i3mA00-i1","1.20.120.1530","","4i3mA00"
"3q3vB02-i1","3.40.50.1260","","3q3vB02"
"3s2eA02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3s2eA02"
"3emiA00-i1","3.90.1780.10","Trimeric adhesin","3emiA00"
"1ywyA00-i1","2.30.270.30","","1ywyA00"
"4hyzA00-i1","3.10.450.590","","4hyzA00"
"5ax8A02-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","5ax8A02"
"1j2jB00-i1","1.20.5.170","","1j2jB00"
"2bvpA01-i1","3.30.500.10","Murine Class I Major Histocompatibility Complex, H2-DB, subunit A, domain 1","2bvpA01"
"4xeaA01-i2","3.30.830.10","Cytochrome Bc1 Complex; Chain A, domain 1","4xeaA01"
"4bfrA02-i1","2.60.40.150","C2- domain Calcium/lipid binding domain","4bfrA02"
"2i39B00-i1","1.10.437.20","","2i39B00"
"1zjrA00-i1","3.40.1280.10","","1zjrA00"
"1y0yA02-i1","2.40.30.40","Aminopeptidase/glucanase lid domain; domain 2","1y0yA02"
"2a4aA00-i1","3.20.20.70","Aldolase class I","2a4aA00"
"4lrtB01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4lrtB01"
"1ub7A02-i2","3.40.47.10","","1ub7A02"
"3hhfA01-i2","3.40.190.10","Periplasmic binding protein-like II","3hhfA01"
"5cgmA04-i1","2.60.40.1180","Golgi alpha-mannosidase II","5cgmA04"
"1wftA01-i2","2.60.40.10","Immunoglobulins","1wftA01"
"3oljA00-i1","1.10.620.20","Ribonucleotide Reductase, subunit A","3oljA00"
"5u47A02-i1","3.90.1310.10","Penicillin-binding protein 2a (Domain 2)","5u47A02"
"3tqnC01-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","3tqnC01"
"3caoA00-i1","3.90.10.10","Cytochrome C3","3caoA00"
"2k3oA00-i1","1.10.274.60","","2k3oA00"
"3s2eA01-i1","3.90.180.10","Medium-chain alcohol dehydrogenases, catalytic domain","3s2eA01"
"1m0sA02-i1","3.30.70.260","","1m0sA02"
"3dmoA00-i1","3.40.140.10","Cytidine Deaminase, domain 2","3dmoA00"
"1f1fA00-i1","1.10.760.10","Cytochrome c","1f1fA00"
"3l0gB01-i1","3.90.1170.20","","3l0gB01"
"3d2aA00-i2","3.40.50.1820","","3d2aA00"
"2cwsA00-i1","2.60.120.200","","2cwsA00"
"4ijrA00-i1","3.20.20.100","NADP-dependent oxidoreductase","4ijrA00"
"4lwoE01-i2","3.40.50.150","Vaccinia Virus protein VP39","4lwoE01"
"5u47A03-i1","3.30.70.2110","","5u47A03"
"4lrtB02-i1","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","4lrtB02"
"5cgmA03-i1","3.20.20.80","Glycosidases","5cgmA03"
"3e74A01-i2","2.30.40.10","Urease, subunit C, domain 1","3e74A01"
"2qqpG01-i1","1.20.1690.20","","2qqpG01"
"4lqlA01-i1","3.40.50.10940","","4lqlA01"
"4xtlA00-i1","1.20.1070.10","Rhopdopsin 7-helix transmembrane proteins","4xtlA00"
"2pefA01-i1","3.30.497.10","Antithrombin, subunit I, domain 2","2pefA01"
"4kh9A03-i1","2.60.120.1370","","4kh9A03"
"4cdnB02-i2","1.25.40.80","","4cdnB02"
"2dvrC00-i2","1.20.920.10","Histone Acetyltransferase; Chain A","2dvrC00"
"1y0yA01-i2","3.40.630.10","Zn peptidases","1y0yA01"
"2dq3A01-i1","1.10.287.40","","2dq3A01"
"4bfrA05-i1","1.10.1070.11","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 5","4bfrA05"
"2ihyA00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2ihyA00"
"1kkcA01-i1","1.10.287.990","Fe,Mn superoxide dismutase (SOD) domain","1kkcA01"
"1ub7A01-i1","3.40.47.10","","1ub7A01"
"1kkcA02-i1","2.40.500.20","","1kkcA02"
"2wptA00-i1","1.10.1200.20","","2wptA00"
"5ag8A01-i1","2.60.40.10","Immunoglobulins","5ag8A01"
"3hhfA02-i2","3.40.190.10","Periplasmic binding protein-like II","3hhfA02"
"2porA00-i2","2.40.160.10","Porin","2porA00"
"1xubA02-i1","3.10.310.10","Diaminopimelate Epimerase; Chain A, domain 1","1xubA02"
"5u47A04-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","5u47A04"
"2a4eA02-i2","2.60.40.60","Cadherins","2a4eA02"
"2z8iA02-i1","1.10.246.130","","2z8iA02"
"3l8kA03-i1","3.30.390.30","","3l8kA03"
"4bfrA03-i1","1.25.40.70","","4bfrA03"
"5dyoB01-i2","2.60.40.10","Immunoglobulins","5dyoB01"
"2keoA00-i2","3.10.120.10","Flavocytochrome B2, subunit A, domain 1","2keoA00"
"3touA01-i2","3.40.30.10","Glutaredoxin","3touA01"
"2n7eA00-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","2n7eA00"
"4jngA02-i1","3.90.25.50","","4jngA02"
"4jvoB01-i1","3.40.50.10740","Class I glutamine amidotransferase-like","4jvoB01"
"4i59A03-i1","1.10.405.10","Guanine Nucleotide Dissociation Inhibitor, domain 1","4i59A03"
"4b43A03-i2","2.40.30.10","Translation factors","4b43A03"
"3rojA02-i1","3.40.190.90","","3rojA02"
"3q98A01-i1","3.40.50.1370","","3q98A01"
"1ftrA02-i1","3.30.70.520","","1ftrA02"
"4x5wA01-i2","3.10.320.10","Class II Histocompatibility Antigen, M Beta Chain; Chain B, domain 1","4x5wA01"
"4ww7B00-i2","3.30.2380.10","PF0523-like","4ww7B00"
"2wbsA00-i1","3.30.160.60","Classic Zinc Finger","2wbsA00"
"2be4A02-i2","1.10.238.10","EF-hand","2be4A02"
"4gtuA02-i2","1.20.1050.10","","4gtuA02"
"5ft9A02-i1","3.40.50.11980","","5ft9A02"
"4ncc201-i2","2.60.40.10","Immunoglobulins","4ncc201"
"2dbyA01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2dbyA01"
"4kq3L01-i2","2.60.40.10","Immunoglobulins","4kq3L01"
"4s11A00-i2","2.60.40.10","Immunoglobulins","4s11A00"
"4p0pB02-i1","1.10.150.670","","4p0pB02"
"1m1hA02-i1","2.60.320.10","N-utilization substance G protein NusG, insert domain","1m1hA02"
"5fl7G02-i1","3.40.1380.10","","5fl7G02"
"1pfoA04-i1","2.60.40.1430","Perfringolysin, domain 4","1pfoA04"
"4kbxA02-i2","3.20.20.10","Alanine racemase","4kbxA02"
"2vdwG00-i2","3.40.50.150","Vaccinia Virus protein VP39","2vdwG00"
"5hq3B00-i2","3.40.50.1820","","5hq3B00"
"3ik2A02-i1","3.20.20.80","Glycosidases","3ik2A02"
"2r7rA05-i1","1.10.357.80","","2r7rA05"
"1xfjA00-i1","3.60.140.10","CNF1/YfiH-like putative cysteine hydrolases","1xfjA00"
"3majA01-i1","3.40.50.450","","3majA01"
"2r7rA08-i1","1.20.120.1400","","2r7rA08"
"1pfoA02-i1","3.30.1040.20","","1pfoA02"
"3dzyA01-i1","3.30.50.10","Erythroid Transcription Factor GATA-1, subunit A","3dzyA01"
"4zb1A00-i1","2.40.155.10","Green Fluorescent Protein","4zb1A00"
"2r7rA07-i1","1.10.10.1980","","2r7rA07"
"4ielB01-i2","3.40.30.10","Glutaredoxin","4ielB01"
"3ik2A01-i2","2.60.40.1180","Golgi alpha-mannosidase II","3ik2A01"
"2ovbA02-i1","1.25.40.460","","2ovbA02"
"3o58D00-i2","3.40.1370.10","","3o58D00"
"2r7rA04-i1","3.30.70.2480","","2r7rA04"
"2dbyA02-i1","3.10.20.30","","2dbyA02"
"3gwyB00-i2","3.90.79.10","Nucleoside Triphosphate Pyrophosphohydrolase","3gwyB00"
"3wcxA00-i2","3.60.10.10","","3wcxA00"
"1g6sA01-i2","3.65.10.10","","1g6sA01"
"4ualA02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","4ualA02"
"4hvzA01-i1","3.30.110.170","","4hvzA01"
"3ubfA03-i2","2.60.40.60","Cadherins","3ubfA03"
"2ki7B01-i1","1.20.5.420","Immunoglobulin FC, subunit C","2ki7B01"
"4r7zK00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","4r7zK00"
"1wyuB02-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","1wyuB02"
"5kvdL01-i2","2.60.40.10","Immunoglobulins","5kvdL01"
"2f7vA02-i2","3.30.70.360","","2f7vA02"
"1qt1A00-i2","3.20.20.150","Divalent-metal-dependent TIM barrel enzymes","1qt1A00"
"2r7rA03-i1","1.10.10.1990","","2r7rA03"
"3k2qA01-i2","3.40.50.450","","3k2qA01"
"1wyuB03-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","1wyuB03"
"1wxcB01-i1","3.30.1880.10","protein ne1242 domain like","1wxcB01"
"4o8kB02-i1","3.30.420.490","","4o8kB02"
"1v0uA01-i2","3.30.870.10","Endonuclease Chain A","1v0uA01"
"3kl1B00-i2","3.30.530.20","","3kl1B00"
"3ebrA00-i2","2.60.120.10","Jelly Rolls","3ebrA00"
"2r7aB01-i1","3.40.50.1980","Nitrogenase molybdenum iron protein domain","2r7aB01"
"4g69A00-i2","2.30.42.10","","4g69A00"
"1r6nA02-i1","2.170.200.10","","1r6nA02"
"2x5xA00-i2","3.40.50.1820","","2x5xA00"
"3i0yA00-i2","3.10.450.50","","3i0yA00"
"1m1hA01-i2","3.30.70.940","N-utilization substance G protein NusG, N-terminal domain","1m1hA01"
"2xz0D00-i2","1.10.1200.10","","2xz0D00"
"1pfoA03-i1","3.40.30.40","Perfringolysin","1pfoA03"
"1iynA02-i2","1.10.420.10","Peroxidase, domain 2","1iynA02"
"4cw9B00-i2","3.40.30.10","Glutaredoxin","4cw9B00"
"2fkzA00-i1","1.20.1260.10","","2fkzA00"
"4qbdB01-i2","1.10.238.10","EF-hand","4qbdB01"
"4fl4F02-i1","2.60.40.4130","","4fl4F02"
"2hqsA02-i1","2.120.10.30","TolB, C-terminal domain","2hqsA02"
"3uc0H01-i2","2.60.40.10","Immunoglobulins","3uc0H01"
"2be4A01-i2","1.10.238.10","EF-hand","2be4A01"
"5fm5M00-i2","2.60.40.10","Immunoglobulins","5fm5M00"
"4m55F00-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4m55F00"
"4iqnB00-i1","3.40.1580.30","","4iqnB00"
"4trtA01-i1","3.10.150.10","DNA Polymerase III, subunit A, domain 2","4trtA01"
"2hjhB01-i1","3.40.50.1220","TPP-binding domain","2hjhB01"
"2r7rA02-i1","1.20.120.1390","","2r7rA02"
"1x4fA00-i2","3.30.70.330","","1x4fA00"
"4an8A02-i1","1.10.132.100","","4an8A02"
"1s3qG00-i2","1.20.1260.10","","1s3qG00"
"3abqA01-i1","2.30.170.30","ethanolamine ammonia-lyase heavy chain domain like","3abqA01"
"3ocfD01-i1","1.10.275.10","Fumarase/aspartase (N-terminal domain)","3ocfD01"
"3osdA00-i1","2.60.120.560","Exo-inulinase; domain 1","3osdA00"
"4z4qA02-i1","3.90.199.10","Topoisomerase II, domain 5","4z4qA02"
"3ubfA02-i2","2.60.40.60","Cadherins","3ubfA02"
"2f7vA01-i2","3.40.630.10","Zn peptidases","2f7vA01"
"3qc0A00-i2","3.20.20.150","Divalent-metal-dependent TIM barrel enzymes","3qc0A00"
"3v9fA02-i1","2.130.10.10","YVTN repeat-like/Quinoprotein amine dehydrogenase ","3v9fA02"
"1pfoA01-i1","3.90.840.10","HIV-1 Reverse Transcriptase; Chain","1pfoA01"
"1am5A02-i2","2.40.70.10","Acid Proteases","1am5A02"
"2bb2A02-i2","2.60.20.10","Crystallins","2bb2A02"
"1ktmA02-i1","1.20.120.330","Nucleotidyltransferases  domain 2","1ktmA02"
"4i3yA01-i2","3.30.540.10","Fructose-1,6-Bisphosphatase, subunit A, domain 1","4i3yA01"
"1m5qB02-i1","3.30.310.60","sm-like archaeal protein, C-terminal domain","1m5qB02"
"4gtuA01-i1","3.40.30.10","Glutaredoxin","4gtuA01"
"2kw1A01-i1","2.40.128.180","","2kw1A01"
"1zc6B01-i2","3.30.420.40","","1zc6B01"
"4usaA01-i1","3.10.20.30","","4usaA01"
"2hqsA01-i1","3.40.50.10070","","2hqsA01"
"2i4rB00-i2","3.40.50.10580","v-type atp synthase like domains","2i4rB00"
"1kvdB00-i1","3.30.44.10","Smk Toxin, beta chain","1kvdB00"
"2jxwA00-i1","2.20.70.10","","2jxwA00"
"2ze9A01-i2","3.30.870.10","Endonuclease Chain A","2ze9A01"
"2e63A00-i1","2.60.120.920","","2e63A00"
"1yqtA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1yqtA02"
"1an8A02-i1","2.40.50.110","","1an8A02"
"5f7jF00-i2","3.40.50.1580","","5f7jF00"
"1ozjB00-i1","3.90.520.10","Smad3; Chain A","1ozjB00"
"1pdnC01-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","1pdnC01"
"1wndA01-i1","3.40.605.10","Aldehyde Dehydrogenase; Chain A, domain 1","1wndA01"
"4rl6B02-i2","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","4rl6B02"
"4glqA00-i2","3.30.450.40","","4glqA00"
"2calA00-i2","2.60.40.420","Cupredoxins -  blue copper proteins","2calA00"
"2iipC00-i2","3.40.50.150","Vaccinia Virus protein VP39","2iipC00"
"5cckL01-i2","2.60.40.10","Immunoglobulins","5cckL01"
"3e7jA01-i2","1.50.10.100","Chondroitin AC/alginate lyase","3e7jA01"
"1ymfA01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1ymfA01"
"1ax4A02-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","1ax4A02"
"1vffA00-i2","3.20.20.80","Glycosidases","1vffA00"
"1qmeA01-i1","3.90.1310.10","Penicillin-binding protein 2a (Domain 2)","1qmeA01"
"3ov2A02-i2","3.40.47.10","","3ov2A02"
"3h1hI00-i1","2.10.210.10","Cytochrome Bc1 Complex; Chain I","3h1hI00"
"3iawA01-i2","2.40.70.10","Acid Proteases","3iawA01"
"2e4tA01-i2","2.60.40.1180","Golgi alpha-mannosidase II","2e4tA01"
"4c75A00-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","4c75A00"
"3gkqA01-i1","3.90.380.10","Naphthalene 1,2-dioxygenase Alpha Subunit; Chain A, domain 1","3gkqA01"
"1ax4A01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","1ax4A01"
"3ofkA00-i2","3.40.50.150","Vaccinia Virus protein VP39","3ofkA00"
"4jjmB00-i1","2.40.100.10","Cyclophilin-like","4jjmB00"
"2h8rA02-i2","1.10.10.60","Homeodomain-like","2h8rA02"
"3zudA00-i2","2.70.50.70","","3zudA00"
"4itaA02-i2","3.40.309.10","Aldehyde Dehydrogenase; Chain A, domain 2","4itaA02"
"4jumA02-i1","3.90.209.20","","4jumA02"
"1eg5B01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","1eg5B01"
"4dzoB01-i1","1.20.5.170","","4dzoB01"
"5i86B00-i2","1.20.920.10","Histone Acetyltransferase; Chain A","5i86B00"
"3cgbA01-i1","3.50.50.60","","3cgbA01"
"4d70A00-i2","2.40.260.10","Sortase","4d70A00"
"3e3xA03-i1","2.40.50.250","bipa protein","3e3xA03"
"2pv4A00-i1","1.10.3440.10","Sama2622-like","2pv4A00"
"1wryA00-i2","3.40.30.10","Glutaredoxin","1wryA00"
"1yqtA01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1yqtA01"
"3e7jA02-i2","2.70.98.70","","3e7jA02"
"2xbtA00-i1","2.60.40.710","","2xbtA00"
"2ncoA00-i2","1.10.238.10","EF-hand","2ncoA00"
"2pvpA03-i1","3.30.1490.20","ATP-grasp fold, A domain","2pvpA03"
"5jsbB00-i1","1.10.132.20","","5jsbB00"
"1xb2A03-i2","2.40.30.10","Translation factors","1xb2A03"
"4cvnG00-i1","3.30.420.80","","4cvnG00"
"1gzkA02-i1","3.30.200.20","Phosphorylase Kinase; domain 1","1gzkA02"
"2k2nA00-i2","3.30.450.40","","2k2nA00"
"1jvbA02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","1jvbA02"
"4e8hA02-i1","1.20.1050.10","","4e8hA02"
"2wvgA02-i1","3.40.50.1220","TPP-binding domain","2wvgA02"
"2btoA03-i2","1.10.287.600","Helix hairpin bin","2btoA03"
"5thxA01-i2","2.40.30.10","Translation factors","5thxA01"
"2he7A02-i2","1.20.80.10","","2he7A02"
"3b08B00-i1","2.20.28.140","","3b08B00"
"4zysA01-i2","3.10.20.120","","4zysA01"
"2jxtA01-i2","3.10.20.10","","2jxtA01"
"5dmjA02-i2","2.10.50.10","Tumor Necrosis Factor Receptor, subunit A, domain 2","5dmjA02"
"2hfzA01-i1","3.30.70.2840","","2hfzA01"
"3nrnA02-i1","3.90.660.50","","3nrnA02"
"5ll6d00-i1","3.30.70.3370","","5ll6d00"
"3f1zI00-i1","2.40.50.140","Nucleic acid-binding proteins","3f1zI00"
"4e8hA01-i2","3.40.30.10","Glutaredoxin","4e8hA01"
"4o8hA00-i1","2.40.100.10","Cyclophilin-like","4o8hA00"
"2ze9A02-i2","3.30.870.10","Endonuclease Chain A","2ze9A02"
"3h4mA01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3h4mA01"
"1wndA02-i2","3.40.309.10","Aldehyde Dehydrogenase; Chain A, domain 2","1wndA02"
"2inyA01-i1","2.70.9.10","Adenovirus Type 2 Hexon, domain 4","2inyA01"
"2e29A01-i1","3.30.70.2280","","2e29A01"
"2wc1A00-i2","3.40.50.360","","2wc1A00"
"3nrnA01-i1","3.50.50.60","","3nrnA01"
"1mo0A00-i1","3.20.20.70","Aldolase class I","1mo0A00"
"3ckfA01-i1","2.40.128.160","C1 set domains (antibody constant domain-like)","3ckfA01"
"5k8bA01-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","5k8bA01"
"3ckfA02-i1","3.90.930.1","","3ckfA02"
"1qmeA02-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","1qmeA02"
"4zysA02-i1","2.40.50.110","","4zysA02"
"4k3xA02-i1","3.90.209.20","","4k3xA02"
"2aaaA01-i1","3.20.20.80","Glycosidases","2aaaA01"
"4u46A00-i2","2.40.128.30","Avidin/streptavidin","4u46A00"
"3ujiL01-i2","2.60.40.10","Immunoglobulins","3ujiL01"
"3rd2A00-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","3rd2A00"
"3d85A01-i2","2.60.40.10","Immunoglobulins","3d85A01"
"2e4tA02-i1","3.20.20.80","Glycosidases","2e4tA02"
"2crqA01-i1","3.30.110.10","Translation Initiation Factor If3","2crqA01"
"5lxrA00-i2","3.30.70.330","","5lxrA00"
"2aaaA02-i1","2.60.40.1180","Golgi alpha-mannosidase II","2aaaA02"
"4mb7A02-i1","1.10.8.50","","4mb7A02"
"1jvbA01-i1","3.90.180.10","Medium-chain alcohol dehydrogenases, catalytic domain","1jvbA01"
"1azwA00-i2","3.40.50.1820","","1azwA00"
"3gkqA03-i1","2.20.25.10","","3gkqA03"
"3orkA01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","3orkA01"
"3e7jA03-i1","2.60.40.2750","","3e7jA03"
"4rsuL02-i2","2.10.50.10","Tumor Necrosis Factor Receptor, subunit A, domain 2","4rsuL02"
"1x5qA01-i2","2.30.42.10","","1x5qA01"
"3cgbA03-i2","3.30.390.30","","3cgbA03"
"2wqfA00-i2","3.40.109.10","NADH Oxidase","2wqfA00"
"1vjxA00-i1","1.20.1260.10","","1vjxA00"
"4gdzA00-i1","2.40.128.410","","4gdzA00"
"3u4zA00-i1","2.40.50.140","Nucleic acid-binding proteins","3u4zA00"
"1tbs001-i2","2.40.10.10","Trypsin-like serine proteases","1tbs001"
"1y1pA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","1y1pA01"
"3p19B00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3p19B00"
"3fpkA01-i2","2.40.30.10","Translation factors","3fpkA01"
"3vc3A02-i2","3.40.50.1100","","3vc3A02"
"3axbA01-i1","3.50.50.60","","3axbA01"
"1tbs002-i2","2.40.10.10","Trypsin-like serine proteases","1tbs002"
"3vc3A01-i2","3.40.50.1100","","3vc3A01"
"1cvrA02-i1","3.40.50.1460","","1cvrA02"
"2ixnA02-i1","1.20.120.1150","","2ixnA02"
"2eosA01-i2","3.30.160.60","Classic Zinc Finger","2eosA01"
"1r8xA02-i2","3.40.50.150","Vaccinia Virus protein VP39","1r8xA02"
"2gsmC00-i2","1.20.210.10","Cytochrome C Oxidase, chain A","2gsmC00"
"3deeA02-i1","1.10.10.2180","","3deeA02"
"2fwrA03-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2fwrA03"
"3fpkA02-i2","3.40.50.80","Nucleotide-binding domain of ferredoxin-NADP reductase (FNR) module","3fpkA02"
"2dukA00-i2","3.90.79.10","Nucleoside Triphosphate Pyrophosphohydrolase","2dukA00"
"1euwA00-i2","2.70.40.10","","1euwA00"
"2m9uA00-i1","2.30.30.850","","2m9uA00"
"2l80A01-i2","3.30.40.10","Zinc/RING finger domain, C3HC4 (zinc finger)","2l80A01"
"3bhqA00-i1","1.10.357.10","Tetracycline Repressor, domain 2","3bhqA00"
"2pa8L00-i1","3.30.1360.10","","2pa8L00"
"1avyB00-i1","1.20.5.320","6-Phosphogluconate Dehydrogenase, domain 3","1avyB00"
"3us3A03-i1","3.40.30.10","Glutaredoxin","3us3A03"
"5g6vB02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","5g6vB02"
"1io1A02-i1","2.170.280.10","f41 fragment of flagellin, middle domain","1io1A02"
"2xgfA01-i2","3.90.1340.10","heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 3","2xgfA01"
"4tpjA00-i2","1.20.1250.20","MFS general substrate transporter like domains","4tpjA00"
"3vtfA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3vtfA01"
"4ir8A01-i2","3.30.540.10","Fructose-1,6-Bisphosphatase, subunit A, domain 1","4ir8A01"
"1ixmB02-i1","3.30.565.30","","1ixmB02"
"2dy3D01-i1","2.40.37.10","Lyase, Ornithine Decarboxylase; Chain A, domain 1","2dy3D01"
"4mkvA01-i2","3.30.70.150","","4mkvA01"
"4p98A01-i2","3.40.50.2300","","4p98A01"
"4yj3F02-i1","3.30.470.20","ATP-grasp fold, B domain","4yj3F02"
"3vtfA02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3vtfA02"
"5bqpD00-i2","3.40.50.2020","","5bqpD00"
"4hpqA00-i1","1.10.10.2570","","4hpqA00"
"5jvlA05-i1","3.50.30.10","Phosphohistidine domains of PEP-utilising enzymes","5jvlA05"
"5dt9A02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","5dt9A02"
"4p98A02-i1","3.40.50.2300","","4p98A02"
"2mj0A00-i2","2.10.60.10","CD59","2mj0A00"
"3fleA00-i2","3.40.50.1820","","3fleA00"
"2j66A02-i2","3.20.20.10","Alanine racemase","2j66A02"
"2fwrA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2fwrA02"
"2k9mA00-i1","1.10.10.1330","","2k9mA00"
"2dcnA00-i1","3.40.1190.20","","2dcnA00"
"2kdkA01-i2","3.30.450.20","","2kdkA01"
"3kfuG02-i1","1.10.8.990","","3kfuG02"
"5t3wA00-i1","1.20.120.1160","","5t3wA00"
"3u0hA00-i2","3.20.20.150","Divalent-metal-dependent TIM barrel enzymes","3u0hA00"
"4pqhA01-i2","3.40.30.10","Glutaredoxin","4pqhA01"
"3dp7B01-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","3dp7B01"
"2ma0A00-i1","3.30.300.90","BolA-like","2ma0A00"
"3dteA02-i1","1.10.10.1030","","3dteA02"
"3zizA00-i2","3.20.20.80","Glycosidases","3zizA00"
"3r06B01-i2","2.60.40.10","Immunoglobulins","3r06B01"
"1pquA02-i2","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","1pquA02"
"3axbA02-i2","3.30.9.10","D-Amino Acid Oxidase, subunit A, domain 2","3axbA02"
"2rn7A01-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","2rn7A01"
"3facA00-i1","2.170.150.70","","3facA00"
"3exaA01-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3exaA01"
"5e24E03-i1","2.60.40.10","Immunoglobulins","5e24E03"
"4kwyA00-i1","3.30.160.150","Lipoprotein like domain","4kwyA00"
"2iakA01-i1","1.20.58.1940","","2iakA01"
"2j66A01-i1","2.40.37.10","Lyase, Ornithine Decarboxylase; Chain A, domain 1","2j66A01"
"2juzA00-i1","1.10.3390.10","YejL-like","2juzA00"
"1ffvA01-i1","3.10.20.30","","1ffvA01"
"1t3qB02-i1","3.30.365.20","","1t3qB02"
"5idmA00-i2","3.30.565.10","","5idmA00"
"3f8hA00-i2","3.10.450.50","","3f8hA00"
"2mtcA00-i1","1.20.1420.40","","2mtcA00"
"3wd6A01-i1","3.40.30.10","Glutaredoxin","3wd6A01"
"1iqcA02-i1","1.10.760.10","Cytochrome c","1iqcA02"
"1cvrA01-i1","3.40.50.10390","Gingipain r; domain 1","1cvrA01"
"3lwsC01-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","3lwsC01"
"1ffvA02-i1","1.10.150.120","","1ffvA02"
"1he8A03-i1","1.25.40.70","","1he8A03"
"2jpcA00-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","2jpcA00"
"2g9zA02-i2","3.40.50.10240","Thiamin pyrophosphokinase, domain 1","2g9zA02"
"1pquA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","1pquA01"
"3b5iA02-i1","1.10.1200.220","","3b5iA02"
"1nl1A00-i1","2.40.20.10","Plasminogen Kringle 4","1nl1A00"
"5do8B03-i1","2.60.40.1180","Golgi alpha-mannosidase II","5do8B03"
"3k1kC00-i2","2.60.40.10","Immunoglobulins","3k1kC00"
"1zunB01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1zunB01"
"5a2qU00-i2","3.30.70.600","","5a2qU00"
"1ugvA00-i1","2.30.30.40","SH3 Domains","1ugvA00"
"5dt9A03-i1","3.30.1370.170","","5dt9A03"
"1zatA01-i1","1.10.269.20","","1zatA01"
"1zrhA00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1zrhA00"
"4pqhA02-i1","1.20.1050.10","","4pqhA02"
"4d3pA00-i2","3.90.190.10","Protein tyrosine phosphatase superfamily","4d3pA00"
"4h3vB02-i2","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","4h3vB02"
"3exaA03-i1","1.10.287.890","Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain","3exaA03"
"4uf1A00-i1","1.10.437.40","","4uf1A00"
"4hilA00-i1","3.10.120.10","Flavocytochrome B2, subunit A, domain 1","4hilA00"
"3wd6A02-i1","1.20.1050.10","","3wd6A02"
"4oy6A00-i1","2.70.50.50","chitin-binding protein cbp21","4oy6A00"
"3uw2A04-i2","3.30.310.50","Major birch pollen allergen Bet v 1","3uw2A04"
